sentence,tactic,labels
is used to schedule tasks on a Windows system to run at a specific date and time.,Execution,T1053.005
is written in PowerShell.,Execution,T1059.001
kills and disables services by using cmd.exe.,Execution,T1059
"kills and disables services for Windows Firewall, Windows Security Center, and Windows Defender.",Defense Evasion,T1562.001
kills anti-virus found on the victim.,Defense Evasion,T1562.001
kills security tools like Wireshark that are running.,Defense Evasion,T1562.001
Lateral movement can be done with  through net use commands to connect to the on remote systems.,Lateral Movement,T1021.002
launched a scheduled task to gain persistence using the schtasks /create /sc command.,Execution,T1053.005
launcher uses rundll32.exe in a Registry Key value to start the main backdoor capability.,Defense Evasion,T1218.011
launches a scheduled task.,Execution,T1053.005
launches a script to delete their original decoy file to cover tracks.,Defense Evasion,T1070.004
launches a shell to execute commands on the victim’s machine.,Execution,T1059
leveraged a compiled HTML file that contained a command to download and run an executable.,Defense Evasion,T1218.001
leveraged an open-source tool called SoftPerfect Network Scanner to perform network scanning.,Discovery,T1046
leveraged a watering hole to serve up malicious code.,Initial Access,T1189
leveraged PowerShell to download and execute additional scripts for execution.,Execution,T1059.001
"leveraged PowerShell to run commands to download payloads, traverse the compromised networks, and carry out reconnaissance.",Execution,T1059.001
leveraged several compromised universities as proxies to obscure its origin.,Command and Control,T1090
leveraged the DDE protocol to deliver their malware.,Execution,T1559.002
leveraged the tool LaZagne for retrieving login and password information.,Credential Access,T1003
leverages a custom packer to obfuscate its functionality.,Defense Evasion,T1027.002
leverages cmd.exe to perform discovery techniques.,Execution,T1059
"leverages legitimate social networking sites and cloud platforms (Twitter, Yandex, and Mediafire) for command and control communications.",Command and Control,T1102
"leverages social networking sites and cloud platforms (AOL, Twitter, Yandex, Mediafire, pCloud, Dropbox, and Box) for C2.",Command and Control,T1102
leverages valid accounts after gaining credentials for use within the victim domain.,Initial Access,T1078
leverages vulnerable versions of Flash to perform execution.,Execution,T1203
lists files in directories.,Discovery,T1083
"lists the directories for Desktop, program files, and the user’s recently accessed files.",Discovery,T1083
looks for specific files and file types.,Discovery,T1083
lower disable security settings by changing Registry keys.,Defense Evasion,T1562.001
lured victims to double-click on images in the attachments they sent which would then execute the hidden LNK file.,Execution,T1204
"makes their malware look like Flash Player, Office, or PDF documents in order to entice a user to click on it.",Execution,T1204
malicious spearphishing payloads are executed as .  has also used  during and.,Execution,T1059.001
malicious spearphishing payloads use WMI to launch malware and spawn cmd.exe execution.  has also used WMIC during and post compromise cleanup activities.,Execution,T1047
"malware attempts to connect to Windows shares for lateral movement by using a generated list of usernames, which center around permutations of the username Administrator, and weak passwords.",Credential Access,T1110
malware can download additional files from C2 servers.,Command and Control,T1105
"malware can list a victim's logical drives and the type, as well the total/free space of the fixed devices. Other malware can list a directory's contents.",Discovery,T1083
malware can use a SOAP Web service to communicate with its C2 server.,Command and Control,T1102
malware can use process hollowing to inject one of its trojans into another process.,Privilege Escalation,T1055.012
malware communicates with its C2 server via HTTPS.,Command and Control,T1071
malware creates a scheduled task entitled “IE Web Cache” to execute a malicious file hourly.,Execution,T1053.005
"malware deletes files in various ways, including ""suicide scripts"" to delete malware binaries from the victim.  also uses secure file deletion to delete files from the victim. Additionally,  malware SHARPKNOT overwrites and deletes the Master Boot Record (MBR) on the victim's machine.",Defense Evasion,T1070.004
malware encrypts C2 traffic using RC4 with a hard-coded key.,Command and Control,T1573
malware gathers data from the local victim system.,Collection,T1005
"malware gathers passwords from multiple sources, including Windows Credential Vault, Internet Explorer, Firefox, Chrome, and Outlook.",Credential Access,T1003
malware gathers system information via Windows Management Instrumentation (WMI).,Execution,T1047
malware gathers the Address Resolution Protocol (ARP) table from the victim.,Discovery,T1016
malware gathers the registered user and primary owner name via WMI.,Discovery,T1033
"malware gathers the victim's local IP address, MAC address, and external IP address.",Discovery,T1016
malware has created scheduled tasks to establish persistence.,Execution,T1053.005
malware has obtained the victim username and sent it to the C2 server.,Discovery,T1033
"malware has used a PowerShell command to check the victim system architecture to determine if it is an x64 machine. Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server.",Discovery,T1082
"malware has used base64-encoded commands and files, and has also encrypted embedded strings with AES.",Defense Evasion,T1027
malware has used HTTP and IRC for C2.,Command and Control,T1071
malware has used HTTP for C2.,Command and Control,T1071
malware has used Registry Run keys to establish persistence.,Persistence,T1547.001
"malware IndiaIndia obtains and sends to its C2 server information about the first network interface card’s configuration, including IP address, gateways, subnet mask, DHCP information, and whether WINS is available.",Discovery,T1016
"malware IndiaIndia saves information gathered about the victim to a file that is compressed with Zlib, encrypted, and uploaded to a C2 server.  malware RomeoDelta archives specified directories in .zip format, encrypts the .zip file, and uploads it to its C2 server.",Collection,T1560
"malware IndiaIndia saves information gathered about the victim to a file that is compressed with Zlib, encrypted, and uploaded to a C2 server.  malware RomeoDelta archives specified directories in .zip format, encrypts the .zip file, and uploads it to its C2 server. A  malware sample encrypts data using a simple byte based XOR operation prior to exfiltration.",Impact,T1486
"malware IndiaIndia saves information gathered about the victim to a file that is saved in the %TEMP% directory, then compressed, encrypted, and uploaded to a C2 server.",Collection,T1074
malware IndiaIndia saves information gathered about the victim to a file that is uploaded to one of its 10 C2 servers. Another  malware sample also performs exfiltration over the C2 channel.,Exfiltration,T1041
malware installs itself as a service to provide persistence and SYSTEM privileges.,Persistence,T1543.003
"malware names itself ""svchost.exe,"" which is the name of the Windows shared service host program.",Defense Evasion,T1036
"malware RoyalCli and BS2005 have communicated over HTTP with the C2 server through Internet Explorer (IE) by using the COM interface IWebBrowser2. Additionally,  malware RoyalDNS has used DNS for C2.",Command and Control,T1071
malware SierraAlfa accesses the ADMIN$ share via SMB to conduct lateral movement.,Lateral Movement,T1021.002
malware SierraCharlie uses RDP for propagation.,Lateral Movement,T1021.001
Malware used by  attempts to terminate processes corresponding to two components of Sophos Anti-Virus (SAVAdminService.exe and SavService.exe).,Defense Evasion,T1562.001
Malware used by  can run commands on the command-line interface.,Execution,T1059
Malware used by  is capable of remotely deleting files from victims.,Defense Evasion,T1070.004
malware uses Caracachs encryption to encrypt C2 payloads.,Command and Control,T1573
malware uses cmd.exe to execute commands on victims.,Execution,T1059
"malware uses multiple types of encryption and encoding in its malware files, including AES, Caracachs, RC4, basic XOR with constant 0xA7, and other techniques.",Defense Evasion,T1027
"malware uses PowerShell commands to perform various functions, including gathering system information via WMI and executing commands from its C2 server.",Execution,T1059.001
malware xxmm contains a UAC bypass tool for privilege escalation.,Privilege Escalation,T1548.002
manipulated .lnk files to gather user credentials in conjunction with .,Persistence,T1547.009
Many  samples can perform UAC bypass by using eventvwr.exe to execute a malicious file.,Privilege Escalation,T1548.002
"Many  samples were programmed using Borland Delphi, which will mangle the default PE compile timestamp of a file.",Defense Evasion,T1070.006
Many strings in  are obfuscated with a XOR algorithm.,Defense Evasion,T1027
may attempt to connect to systems within a victim's network using net use commands and a predefined list or collection of passwords.,Credential Access,T1110
may collect active network connections by running netstat -an on a victim.,Discovery,T1049
may collect information about the system by running hostname and systeminfo on a victim.,Discovery,T1082
may collect network configuration data by running ipconfig /all on a victim.,Discovery,T1016
may create a file containing the results of the command cmd.exe /c ipconfig /all.,Discovery,T1016
may create a file containing the results of the command cmd.exe /c net user {Username}.,Discovery,T1087
may enumerate user directories on a victim.,Discovery,T1083
"may save itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.",Defense Evasion,T1036
"may use net group ""domain admins"" /domain to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.",Discovery,T1087
may use  to add local firewall rule exceptions.,Defense Evasion,T1562.001
may use WMI when collecting information about a victim.,Execution,T1047
mimics a legitimate Russian program called USB Disk Security.,Defense Evasion,T1036
"mimics the resource version information of legitimate Realtek Semiconductor, Nvidia, or Synaptics modules.",Defense Evasion,T1036
modifies the %regrun% Registry to point itself to an autostart mechanism.,Persistence,T1547.001
modifies the time of a file as specified by the control server.,Defense Evasion,T1070.006
modifies timestamps of all downloaded executables to match a randomly selected file created prior to 2013.,Defense Evasion,T1070.006
modules are written in and executed via .,Execution,T1059.001
monitors browsing activity and automatically captures screenshots if a victim browses to a URL matching one of a list of strings.,Collection,T1119
"monitors USB devices and copies files with certain extensions to
a predefined directory.",Collection,T1119
"Most of the strings in  are encrypted with an XOR-based algorithm; some strings are also encrypted with 3DES and reversed. API function names are also reversed, presumably to avoid detection in memory.",Defense Evasion,T1027
"Most  samples maintain persistence by setting the Registry Run key SOFTWARE\Microsoft\Windows\CurrentVersion\Run\ in the HKLM or HKCU hive, with the Registry value and file name varying by sample.",Persistence,T1547.001
Most strings in  are encrypted using 3DES and XOR and reversed.,Defense Evasion,T1027
moved laterally via RDP.,Lateral Movement,T1021.001
MSGET downloader uses a dead drop resolver to access malicious payloads.,Command and Control,T1102
"named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms.exe and the directory CSIDL_APPDATA\microsoft\security.",Defense Evasion,T1036
network loader encrypts C2 traffic with RSA and RC6.,Command and Control,T1573
"New services created by  are made to appear like legitimate Windows services, with names such as ""Windows Management Help Service"", ""Microsoft Support"", and ""Windows Advanced Task Manager"".",Defense Evasion,T1036
obfuscated scripts that were used on victim machines.,Defense Evasion,T1027
"obfuscated several scriptlets and code used on the victim’s machine, including through use of XOR.",Defense Evasion,T1027
obfuscates C2 communication using a 1-byte XOR with the key 0xBE.,Command and Control,T1573
obfuscates C2 traffic with variable 4-byte XOR keys.,Command and Control,T1573
"obfuscates files by splitting strings into smaller sub-strings and including ""garbage"" strings that are never used. The malware also uses return-oriented programming (ROP) technique and single-byte XOR to obfuscate data.",Defense Evasion,T1027
obfuscates files or information to help evade defensive measures.,Defense Evasion,T1027
obfuscates internal strings and unpacks them at startup.,Defense Evasion,T1027
obfuscates some commands by using statically programmed fragments of strings when starting a DLL. It also uses a one-byte xor against 0x91 to encode configuration data.,Defense Evasion,T1027
obfuscates strings using a custom stream cipher.,Defense Evasion,T1027
obtained OS version and hardware configuration from a victim.,Discovery,T1082
obtains additional code to execute on the victim's machine.,Command and Control,T1105
obtains and saves information about victim network interfaces and addresses.,Discovery,T1049
obtains installer properties from Uninstall Registry Key entries to obtain information about installed applications and how to uninstall certain applications.,Discovery,T1083
obtains the current user's security identifier.,Discovery,T1033
obtains the IP address from the victim’s machine.,Discovery,T1016
obtains the system time and will only activate if it is greater than a preset date.,Discovery,T1124
obtains the victim's current time.,Discovery,T1124
obtains the victim's operating system version and keyboard layout and sends the information to the C2 server.,Discovery,T1082
obtains the victim computer name and encrypts the information to send over its C2 channel.,Discovery,T1082
obtains the victim IP address.,Discovery,T1016
obtains the victim username.,Discovery,T1033
obtains the victim username and encrypts the information to send over its C2 channel.,Discovery,T1033
obtains Windows logon password details.,Credential Access,T1003
One persistence mechanism used by  is to register itself as a scheduled task.,Execution,T1053.005
One persistence mechanism used by  is to register itself as a Windows service.,Persistence,T1543.003
One variant of  creates a new service using either a hard-coded or randomly generated name.,Persistence,T1543.003
One variant of  uses a Microsoft OneDrive account to exchange commands and stolen data with its operators.,Command and Control,T1102
One variant of  uses HTTP and HTTPS for C2.,Command and Control,T1071
One version of  uses a PowerShell script.,Execution,T1059.001
opens a remote shell to execute commands on the infected system.,Execution,T1059
opens the Windows Firewall to modify incoming connections.,Defense Evasion,T1562.001
packs a plugin with UPX.,Defense Evasion,T1027.002
parses the export tables of system DLLs to locate and call various Windows API functions.,Execution,T1106
"Password stealer and NTLM stealer modules in  harvest stored credentials from the victim, including credentials used as part of Windows NTLM user authentication.  has also executed  for further victim penetration.",Credential Access,T1003
payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.,Defense Evasion,T1027
payloads download additional files from the C2 server.,Command and Control,T1105
performed a watering hole attack on forbes.com in 2014 to compromise targets.,Initial Access,T1189
"performs account discovery using commands such as net localgroup administrators and net group ""REDACTED"" /domain on specific permissions groups.",Discovery,T1087
performs a reflective DLL injection using a given pid.,Privilege Escalation,T1055
performs data exfiltration is accomplished through the following command-line command: from <COMPUTER-NAME> (<Month>-<Day> <Hour>-<Minute>-<Second>).txt.,Exfiltration,T1020
performs data exfiltration over the control server channel using a custom protocol.,Exfiltration,T1041
performs local network connection discovery using netstat.,Discovery,T1049
performs multiple process injections to hijack system processes and execute malicious code.,Privilege Escalation,T1055
performs operating system information discovery using systeminfo.,Discovery,T1082
performs thread execution hijacking to inject its orchestrator into a running thread from a remote process.  performs a separate injection of its communication module into an Internet accessible process through which it performs C2.,Privilege Escalation,T1055
performs timestomping of a CAB file it creates.,Defense Evasion,T1070.006
performs UAC bypass.,Privilege Escalation,T1548.002
persists via a Launch Agent.,Persistence,T1543.001
persists via a login item.,Persistence,T1547.015
provides access to the system via SSH or any other protocol that uses PAM to authenticate.,Command and Control,T1071
"provides access using both standard facilities like SSH and additional access using its backdoor Espeon, providing a reverse shell upon receipt of a special packet",Execution,T1059
provides a reverse shell on the victim.,Execution,T1059
puts a space after a false .jpg extension so that execution actually goes through the Terminal.app program.,Defense Evasion,T1036.006
ran a reverse shell with Meterpreter.,Execution,T1059
ran genuinely-signed executables from Symantec and McAfee which loaded a malicious DLL called rastls.dll.,Persistence,T1574.002
RAT is able to delete files.,Defense Evasion,T1070.004
RAT is able to open a command shell.,Execution,T1059
RAT is able to wipe event logs.,Defense Evasion,T1070
recursively generates a list of files within a directory and sends them back to the control server.,Collection,T1119
registers itself as a service by adding several Registry keys.,Persistence,T1543.003
"registers itself under a Registry Run key with the name ""USB Disk Security.""",Persistence,T1547.001
relays traffic between a C2 server and a victim.,Command and Control,T1090
removes batch files to reduce fingerprint on the system as well as deletes the CAB file that gets encoded upon infection.,Defense Evasion,T1070.004
removes logs from /var/logs and /Library/logs.,Defense Evasion,T1070
renames one of its .dll files to uxtheme.dll in an apparent attempt to masquerade as a legitimate file.,Defense Evasion,T1036
replaces the Sticky Keys binary C:\Windows\System32\sethc.exe for persistence.,Persistence,T1546.008
Rundll32.exe is used as a way of executing  at the command-line.,Defense Evasion,T1218.011
runs cmd.exe /c and sends the output to its C2.,Execution,T1059
runs ipconfig /all and collects the domain name.,Discovery,T1016
runs its core DLL file using rundll32.exe.,Defense Evasion,T1218.011
runs tests to determine the privilege level of the compromised user.,Discovery,T1033
runs the command net user on a victim.  also runs tests to determine the privilege level of the compromised user.,Discovery,T1087
runs the ifconfig command to obtain the IP address from the victim’s machine.,Discovery,T1016
runs the whoami and query user commands.,Discovery,T1033
runs whoami on the victim’s machine.,Discovery,T1033
samples have been seen which hijack COM objects for persistence by replacing the path to shell32.dll in registry location HKCU\Software\Classes\CLSID\{42aedc87-2188-41fd-b9a3-0c966feabec1}\InprocServer32.,Persistence,T1546.015
samples sometimes use common binary packers such as UPX and Aspack on top of a custom Delphi binary packer.,Defense Evasion,T1027.002
samples were timestomped by the authors by setting the PE timestamps to all zero values.  also has a built-in command to modify file times.,Defense Evasion,T1070.006
saves each collected file with the automatically generated format {0:dd-MM-yyyy}.txt .,Collection,T1119
"saves itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.",Defense Evasion,T1036
"saves itself with a leading ""."" so that it's hidden from users by default.",Defense Evasion,T1564.001
schedules the execution one of its modules by creating a new scheduler task.,Execution,T1053.005
scripts save memory dump data into a specific directory on hosts in the victim environment.,Collection,T1074
searches attached and mounted drives for file extensions and keywords that match a predefined list.,Discovery,T1083
searches for files created within a certain timeframe and whose file extension matches a predefined list.,Discovery,T1083
searches for files on local drives based on a predefined list of file extensions.,Collection,T1005
searches for interesting files (either a default or customized set of file extensions) on the local system and removable media.,Discovery,T1083
searches for network drives and removable media and duplicates itself onto them.,Command and Control,T1105
"searches removable storage devices for files with a pre-defined list of file extensions (e.g. * .doc, *.ppt, *.xls, *.docx, *.pptx, *.xlsx). Any matching files are encrypted and written to a local user directory.",Collection,T1119
searches the local system and gathers data.,Collection,T1005
"searches the system for all of the following file extensions: .avi, .mov, .mkv, .mpeg, .mpeg4, .mp4, .mp3, .wav, .ogg, .jpeg, .jpg, .png, .bmp, .gif, .tiff, .ico, .xlsx, and .zip",Discovery,T1083
"searches victim drives for files matching certain extensions (“.skr”,“.pkr” or “.key”) or names.",Discovery,T1083
sends an OS version identifier in its beacons.,Discovery,T1082
sends emails to victims with a malicious executable disguised as a document or spreadsheet displaying a fake icon.,Reconnaissance,T1598.002
sends images to users that are embedded with shellcode and obfuscates strings and payloads.,Defense Evasion,T1027
"sends information to its hard-coded C2, including OS version, service pack information, processor speed, system name, and OS install date.",Discovery,T1082
"sent malicious attachments to victims over email, including an Excel spreadsheet containing macros to download Pupy.",Reconnaissance,T1598.002
sent shortened URL links over email to victims. The URLs linked to Word documents with malicious macros that execute PowerShells scripts to download Pupy.,Reconnaissance,T1598.003
sent spear phishing emails containing links to .hta files.,Reconnaissance,T1598.003
sent spearphishing emails containing malicious Microsoft Office attachments.,Reconnaissance,T1598.002
sent spearphishing emails which used a URL-shortener service to masquerade as a legitimate service and to redirect targets to credential harvesting sites.,Reconnaissance,T1598.003
service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser.,Persistence,T1546.009
service-based DLL implant traverses the FTP server’s directories looking for files with keyword matches for computer names or certain keywords.,Discovery,T1083
sets a WH_CBT Windows hook to search for and capture files on the victim.,Discovery,T1083
sets the timestamps of its dropper files to the last-access and last-write timestamps of a standard Windows library chosen on the system.,Defense Evasion,T1070.006
Several  backdoors achieved persistence by adding a Run key.,Persistence,T1547.001
Several  malware families are capable of downloading and executing binaries from its C2 server.,Command and Control,T1105
"Several  malware families collect information on the type and version of the victim OS, as well as the victim computer name and CPU information. A Destover-like variant used by  also collects disk space information and sends it to its C2 server.",Discovery,T1082
"Several  malware families encrypt C2 traffic using custom code that uses XOR with an ADD operation and XOR with a SUB operation. Another  malware sample XORs C2 traffic.  malware also uses a unique form of communication encryption known as FakeTLS that mimics TLS but uses a different encryption method, evading SSL man-in-the-middle decryption attacks.",Command and Control,T1573
"Several  malware families use timestomping, including modifying the last write timestamp of a specified Registry key to a random date, as well as copying the timestamp for legitimate .exe files (such as calc.exe or mspaint.exe) to its dropped files.",Defense Evasion,T1070.006
"Several  malware samples use a common function to identify target files by their extension.  malware families can also enumerate files and directories, including a Destover-like variant that lists files and gathers information for all drives.",Discovery,T1083
Several  tools encode data with base64 when posting it to a C2 server.,Command and Control,T1132
"side loads a malicious file, sspisrv.dll, in part of a spoofed lssas.exe service.",Persistence,T1574.002
Some resources in  are encrypted with a simple XOR operation or encoded with Base64.,Defense Evasion,T1027
Some  samples contain a publicly available Web browser password recovery tool.,Credential Access,T1003
Some  samples install themselves as services for persistence by calling WinExec with the net start argument.,Persistence,T1543.003
"Some  samples use a custom encryption method for C2 traffic using AES, base64 encoding, and multiple keys.",Command and Control,T1573
Some  samples use AES to encrypt C2 traffic.,Command and Control,T1573
Some  samples use cmd.exe to delete temporary files.,Defense Evasion,T1070.004
Some strings in are obfuscated with XOR x56.,Defense Evasion,T1027
"Some  variants have used South Korea's Daum email service to exfiltrate information, and later variants have posted the data to a web server via an HTTP post command.",Command and Control,T1071
Some variants of  achieve persistence by registering the payload as a Shell Icon Overlay handler COM object.,Persistence,T1546.015
"Some variants of  use AppInit_DLLs to achieve persistence by creating the following Registry key: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""",Persistence,T1546.010
Some variants of  use SSL to communicate with C2 servers.,Command and Control,T1071
Some  variants use HTTP for C2.,Command and Control,T1071
Some  variants use SSL to encrypt C2 communications.,Command and Control,T1573
Some  versions have an embedded DLL known as MockDll that uses  and regsvr32 to execute another payload.,Defense Evasion,T1218.010
Some  versions have an embedded DLL known as MockDll that uses process hollowing and  to execute another payload.,Privilege Escalation,T1055.012
Some versions of  have used the hard-coded string “this is the encrypt key” for Blowfish encryption when communicating with a C2. Later versions have hard-coded keys uniquely for each C2 address.,Command and Control,T1573
spawns a new copy of c:\windows\syswow64\explorer.exe and then replaces the executable code in memory with malware.,Privilege Escalation,T1055.012
spearphished victims via Facebook and Whatsapp.,Initial Access,T1566.003
spear phishing campaigns have included malicious Word documents with DDE execution.,Execution,T1559.002
stages command output and collected data in files before exfiltration.,Collection,T1074
"stages data prior to exfiltration in multi-part archives, often saved in the Recycle Bin.",Collection,T1074
"steals credentials from compromised hosts. 's credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by  include ones associated with The Bat!, Yahoo!, Mail.ru, Passport.Net, Google Talk, Netscape Navigator, Mozilla Firefox, Mozilla Thunderbird, Internet Explorer, Microsoft Outlook, WinInet Credential Cache, and Lightweight Directory Access Protocol (LDAP).",Credential Access,T1003
steals credentials from its victims.,Credential Access,T1003
steals credentials stored in Web browsers by querying the sqlite database and leveraging the Windows Vault mechanism.,Credential Access,T1003
steals data stored in the clipboard.,Collection,T1115
"steals files with the following extensions: .docx, .doc, .pptx, .ppt, .xlsx, .xls, .rtf, and .pdf.",Collection,T1005
steals user files from local hard drives with file extensions that match a predefined list.,Collection,T1005
stores a configuration files in the startup directory to automatically execute commands in order to persist across reboots.,Persistence,T1547.001
stores information gathered from the endpoint in a file named 1.hwp.,Collection,T1074
stores itself in ~/Library/.DS_Stores/,Defense Evasion,T1564.001
stores output from command execution in a .dat file in the %TEMP% directory.,Collection,T1074
supports execution from the command-line.,Execution,T1059
"supports file encryption (AES with the key ""lolomycin2017"").",Defense Evasion,T1027
"surveys a system upon check-in to discover active local network connections using the netstat -an, net use, net file, and net session commands.",Discovery,T1049
"surveys a system upon check-in to discover files in specific locations on the hard disk %TEMP% directory, the current user's desktop, and in the Program Files directory.",Discovery,T1083
"surveys a system upon check-in to discover network configuration details using the arp -a, nbtstat -n, and net config commands.",Discovery,T1016
surveys a system upon check-in to discover operating system configuration details using the systeminfo and set commands.,Discovery,T1082
surveys a system upon check-in to discover the system time by using the net time command.,Discovery,T1124
terminates anti-malware processes if they’re found running on the system.,Defense Evasion,T1562.001
The 's Information Gathering Tool (IGT) includes PowerShell components.,Execution,T1059.001
"The ""SCOUT"" variant of  achieves persistence by adding itself to the HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run Registry key.",Persistence,T1547.001
"The ""tDiscoverer"" variant of  establishes a C2 channel by downloading resources from Web services like Twitter and GitHub.  binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day.",Command and Control,T1102
"The ""Uploader"" variant of  visits a hard-coded server over HTTP/S to download the images  uses to receive commands.",Command and Control,T1071
"The ""ZR"" variant of  will check to see if known host-based firewalls are installed on the infected systems.  will attempt to establish a C2 channel, then will examine open windows to identify a pop-up from the firewall software and will simulate a mouse-click to allow the connection to proceed.",Defense Evasion,T1562.001
The  backdoor compresses communications using the standard Zlib compression library.,Collection,T1560
The  C2 channel uses an 11-byte XOR algorithm to hide data.,Command and Control,T1573
The  C2 channel uses HTTP POST requests.,Command and Control,T1071
The C2 server response to a beacon sent by a variant of  contains a 36-character GUID value that is used as an encryption key for subsequent network communications. Some variants of  use various XOR operations to encrypt C2 data.,Command and Control,T1573
The  command and control protocol's data stream can be encrypted with AES-CBC.,Command and Control,T1573
The  component KillDisk is capable of deleting Windows Event Logs.,Defense Evasion,T1070
The  config file is encrypted with RC4.,Defense Evasion,T1027
The discovery modules used with  can collect information on accounts and permissions.,Discovery,T1087
The discovery modules used with  can collect information on network connections.,Discovery,T1049
The  dropper can delete itself from the victim. Another  variant has the capability to delete specified files.,Defense Evasion,T1070.004
"The  dropper copies the system file rundll32.exe to the install location for the malware, then uses the copy of rundll32.exe to load and execute the main  component.",Defense Evasion,T1218.011
The  dropper has masqueraded a copy of the infected system's rundll32.exe executable that was moved to the malware's install directory and renamed according to a predefined configuration file.,Defense Evasion,T1036
The  dropper uses a function to obfuscate the name of functions and other parts of the malware.,Defense Evasion,T1027
The  dropper uses Windows Management Instrumentation to extract information about the operating system and whether an anti-virus is active.,Execution,T1047
"The file name AcroRD32.exe, a legitimate process name for Adobe's Acrobat Reader, was used by  as a name for malware.",Defense Evasion,T1036
The  group has been known to compress data before exfiltration.,Collection,T1560
The  group is known to utilize WMI for lateral movement.,Execution,T1047
The initial beacon packet for  contains the operating system version and file system of the victim.,Discovery,T1082
The initial beacon packet for  contains the operating system version of the victim.,Discovery,T1082
The  installer loads a DLL using rundll32.,Defense Evasion,T1218.011
"The  loader implements itself with the name Security Support Provider, a legitimate Windows function. Various  .exe files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare.  also disguised malicious modules using similar filenames as custom network encryption software on victims.",Defense Evasion,T1036
The  malware communicates through the use of events in Google Calendar.,Command and Control,T1102
The  malware communicates to its command server using HTTP with an encrypted payload.,Command and Control,T1071
The  malware platform can use Windows admin shares to move laterally.,Lateral Movement,T1021.002
The  malware supports timestomping.,Defense Evasion,T1070.006
The net time command can be used in  to determine the local or remote system time.,Discovery,T1124
The OsInfo function in  collects the current running username.,Discovery,T1033
The  payload is stored in a hidden directory at /Users/Shared/.local/kextd.,Defense Evasion,T1564.001
The payload of  is encrypted with simple XOR with a rotating key. The  configuration file has been encrypted with RC4 keys.,Defense Evasion,T1027
The reconnaissance modules used with  can collect information on network configuration.,Discovery,T1016
There is a variant of  that uses a PowerShell script instead of the traditional PE form.,Execution,T1059.001
The Ritsol backdoor trojan used by  can download files onto a compromised host from a remote location.,Command and Control,T1105
The  trojan supports file deletion.,Defense Evasion,T1070.004
The  uploader or malware the uploader uses command to delete the RAR archives after they have been exfiltrated.,Defense Evasion,T1070.004
"To establish persistence,  adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.",Defense Evasion,T1036
tools attempt to spoof anti-virus processes as a means of self-defense.,Defense Evasion,T1036
Traffic traversing the  network will be forwarded to multiple nodes before exiting the  network and continuing on to its intended destination.,Command and Control,T1090.003
transferred compressed and encrypted RAR files containing exfiltration through the established backdoor command and control channel during operations.,Exfiltration,T1041
transfers files from the compromised host via HTTP or HTTPS to a C2 server.,Command and Control,T1071
"tries to add a Registry Run key under the name ""Windows Update"" to establish persistence.",Persistence,T1547.001
tries to add a scheduled task to establish persistence.,Execution,T1053.005
"TRINITY malware used by  identifies payment card track data on the victim and then copies it to a local file in a subdirectory of C:\Windows\. Once the malware collects the data,  actors compressed data and moved it to another staging system before exfiltration.",Collection,T1074
uploads and downloads information.,Command and Control,T1105
uploads files and secondary payloads to the victim's machine.,Command and Control,T1105
used a cron job for persistence on Mac devices.,Execution,T1053
used an HTTP malware variant and a Port 22 malware variant to collect the victim’s username.,Discovery,T1033
used a tool called MailSniper to search for files on the desktop and another utility called Sobolsoft to extract attachments from EML files.,Discovery,T1083
used Base64 to encode C2 traffic.,Command and Control,T1132
used Base64 to obfuscate commands and the payload.,Defense Evasion,T1027
"used batch scripts to enumerate network information, including information about trusts, zones, and the domain.",Discovery,T1016
used batch scripts to enumerate users in the victim environment.,Discovery,T1087
used cmd.exe to launch commands on the victim’s machine.,Execution,T1059
used command line for execution.,Execution,T1059
"used legitimate services like Google Docs, Google Scripts, and Pastebin for C2.",Command and Control,T1102
used PowerShell scripts for execution.,Execution,T1059.001
used RDP to move laterally in victim networks.,Lateral Movement,T1021.001
used regsvr32.exe to execute scripts.,Defense Evasion,T1218.010
used Regsvr32 to bypass application whitelisting techniques.,Defense Evasion,T1218.010
used scheduled tasks to automatically log out of created accounts every 8 hours as well as to execute malicious files.,Execution,T1053.005
"used SMTP as a communication channel in various implants, initially using self-registered Google Mail accounts and later compromised email servers of its victims. Later implants such as  use a blend of HTTP and other legitimate channels, depending on module configuration.",Command and Control,T1071
used spearphishing emails with malicious Microsoft Word attachments to infect victims.,Reconnaissance,T1598.002
